Description,Category
PrinterInstallation,Printer
Birthday Greetings,Inquiry / Help
Back Side Security IP Phone Not Working.   The sam,Other Hardware
"WIFI ISSUE, DISCONNECTING IN EVERY 2 HOURS AUTOMAT",Laptops/Desktop
Wi-fi issue,Other
one drive not updated,Laptops/Desktop
Users Mail ID add in Mail Group Panna,Other
PLEASE RESET SAP PASSWORD OF BEAWR DEPOT (1627)US,Laptops/Desktop
pl reset VPN password of Sujangarh depotuser ID-,Network
System working slow,Laptops/Desktop
Printernot connected in it department - Kanpur,Printer
Sir Please add this email id (itsupport.kanp1@jkce,Software
Required Oracle code for new joinee,Laptops/Desktop
Sir Amit Saraogi's macbook is not joining on domai,Laptops/Desktop
ms office not working,Laptops/Desktop
google earth pro setup,Software
outlook not responding.,Laptops/Desktop
"Email not working ,continuously disconnected.  S",Network
Outlook is working slow.,Laptops/Desktop
Need to change password,Laptops/Desktop
New vpn id create,Network
Outlook connectivity issue,Laptops/Desktop
Ms-Office Not Working,Laptops/Desktop
outook not working in mobile,E-mail
outlook not working,Laptops/Desktop
Sports category add for procurement users due to his work profile in SOPHOS,Other
outlook not working,Network
Outlook Not Working,Laptops/Desktop
Outlook not connecting to internet,Network
Outlook not connecting to internet.,Network
OUTLOOK AND SAP NOT WORKING,Network
If I try to create wfh absense using the Saksham m,Application
vpn MFA reset ,Network
VPN id need to reset,Network
"At the time of my joining, old laptop of previous ",Laptops/Desktop
TMS portal issue,Application
Travel portal issue,Application
Old Laptop Follow up ...,Laptops/Desktop
old laptop follow up,Laptops/Desktop
Old laptop follow up,Laptops/Desktop
gandhinagar vpn issue,E-mail
"Hi,I am not able to login VPN and other portal a",Laptops/Desktop
PRINT PROBLEM,Printer
Follow up for OLD laptop,Laptops/Desktop
Not able to login...,Laptops/Desktop
install A3 Printerin Laptop,Printer
stand by Printerinstall at pavan sir laptop,Printer
"At our mines office (ADMIN Block), often we face a",Printer
Password not working in outlook,E-mail
New Files Saved / New Created  on local HDD in One,Laptops/Desktop
Suggestions for improvement in travel expenses cla,Application
excel date issue ,Other
Suggestions for Travel Management System  Please,Application
Excel Hanging issue,Laptops/Desktop
Project Team (NBH & MGR) Email ID Group,Other
Daily checklist..,Laptops/Desktop
Daily Infra report ..,Laptops/Desktop
Required Oracle code for new Joinee,Laptops/Desktop
Need to change AD password.,Laptops/Desktop
VPN Password to be Changed,Network
Not able to connect office network...,Network
zstoppage_form_few  t-code error in SAP,Other
Not able to take print,Printer
Need to get my laptop update as its quite slow,Laptops/Desktop
Wifi installation pending ,Other
change designation in AD,Other
Printeris not connected,Printer
Please remove photo from rawmatgate.nim@jkcement.c,Software
Outlook issue at dispatch gate PC,Software
VPN Issue,Laptops/Desktop
"Pulse secure, not login.",Laptops/Desktop
VPN connection issue,Laptops/Desktop
VPN connectivity issue,Laptops/Desktop
status connect requested,Network
Printing not proper. The paper alignment is distur,Printer
change reporting manager,Other
SAP installtion at Ponda DepotVPN ID – cfg.ponda,SAP
VPN setup installation at Ponda DepotVPN ID – cf,Network
VPN MFA Reset for below Depot ID.cfg.ponda,Network
elec workshop line 2 ip phone not working,Other Hardware
"Dear Sir,Ponda Depot CFA has formatted computer,",SAP
Not able to take print,Printer
Need to reset password...,Laptops/Desktop
pls change mail password ob.gujsrt@jkcement.comi,E-mail
PDF not working,Laptops/Desktop
Please change VPN password for VPN IDCfg.Dehgam,Network
Need to create local contacts group...,Laptops/Desktop
VPN Issue,Laptops/Desktop
please shift desktop and provide data cable connec,Laptops/Desktop
VPN Issue,Laptops/Desktop
Bhavin.Savaliya@jkcement.comRESET PASSWORD  IN M,Network
Kindly Reset VPN Password,Network
VPN authenticator issue upon phone change,Network
IP of Elect. workshop line 2 in not working properly,Other Hardware
Printeris not working...,Printer
excel file issue,Laptops/Desktop
Outlook connectivity issue.,Laptops/Desktop
Printeroffline,Printer
Request for new Printerat New process office (Old,Printer
Print out not clear from printer.,Printer
VPN id need to reset,Network
"Dear Sir, Request for VPN Password Reset of Hubli",Network
VPN ID need to reset,Network
Guest WIFI is not connected. please solve this imm,Network
Projector Remote is not working...,Other Hardware
Projector lift is not working...,Other Hardware
VPN NOT WORKING,Network
Not able to login through mobile Every time mail ,E-mail
reset ITSM password,SAP
password issue,Laptops/Desktop
"Hello Team,Please disable the VPN Id Rid.Securit",Network
DATA card / Sim required,Software
My system account and outlook account is getting l,Network
Deletion of Email id of - Marry Malowa mail id,E-mail
Account Lock,Laptops/Desktop
Mail Send-Receive issue,Laptops/Desktop
Saksham Portal issue,Laptops/Desktop
Need to reset password...,Laptops/Desktop
Need to change password...,Laptops/Desktop
required one scanner for instt project /modificati,Printer
VPN Connection issue,Laptops/Desktop
Not able to login outlook. Signing in window is bl,Network
Vpn Connecting issue,Laptops/Desktop
Pulse secure not connected,Network
to be use in project and modification wok in instt,Printer
Airtel Datacard is not working. It not  getting sw,Network
need to change password...,Laptops/Desktop
"scanning problem, showing error on printer",Printer
"Dear Sir,general stores wi-fi network not availab",Laptops/Desktop
Not able to connect VPN...,Network
Birthday Greeting,Inquiry / Help
Not able to connect Office network...,Network
"dear sir, again same problem network issue and  no",Network
"Tolerance issue in RJ01GC1989, RJ09GB4800, RJ09GD1176",Software
Audio device is not working...,Laptops/Desktop
keyboard keys are sticking and difficulty in worki,Laptops/Desktop
Cement Mill lC ip ph replacement work,Other Hardware
VPN google authenticator account reset,Other
Mail send/receive issue,Laptops/Desktop
Account Lock,Laptops/Desktop
"While printing , black colour shade is spread on p",Printer
Battery will be total drained with 30 minCertain,Laptops/Desktop
Please provide new password for below VPN IDVPN ,Network
laptop mail backup for rakesh ji and transfer to Phillipe,Inquiry / Help
New IP Phone Configuration for Panna,Other
"In Sap , (  For ID : FJ_INST1 ) Its Showing Licens",SAP
I forget my password would you please reset it for,Network
Outlook connectivity issue,Laptops/Desktop
CONTRACT WORKERS PUNCHING NET WORK MACHINE PROBLE,Network
h,Printer
Printertoner error,Printer
Printernot working,Printer
trucks are not mapped in SAP,Software
To install SAP in laptop,Laptops/Desktop
Dear Sir. Please add mac address of Mr.Amit Sara,Network
Please arrange to replace HP Laser Jet 1020 plus p,Printer
PC slow,Laptops/Desktop
mailbox full,Other
"laptop hand, slow, issue",Other
LED display location finalize at packing plant,Other
SAP GRC not working,SAP
VPN Issue,Laptops/Desktop
dot matrix Printernot giving proper print,Other
Please change VPN password for following userCfg,Network
ERROR IN OPENING PDF FILES,Software
VC User locked (SAJTS),Other
User ID creation for Instrumentation,Other
Account lock issue,Laptops/Desktop
outlook profile photo change,Other
"Dear sir/madam,The desktop provided to me is havi",Laptops/Desktop
incorrect system date and time,Laptops/Desktop
Requesting for a zoom meeting with All Panna Plant,Other Hardware
Need to change password...,Laptops/Desktop
"Dear Sir,My laptop is hanging up frequently. Bec",Laptops/Desktop
mail sending issue,Laptops/Desktop
Account lock issue,Laptops/Desktop
VPN Authnticator issue,Laptops/Desktop
Account lock,Laptops/Desktop
"Dear  Sir, Need for Increase in  upgraded Ram  for",Laptops/Desktop
Account Lock Issu,Laptops/Desktop
Need to reset password of Cfg Bareilly,Laptops/Desktop
ITSM Not working,Other
VPN Issue,Laptops/Desktop
need to change password of godhra depot...,Laptops/Desktop
Need to change password of Cfg.Chirawa,Laptops/Desktop
"Outlook program is still not working properly, the",Laptops/Desktop
Account lock issue,Laptops/Desktop
Wifi  connectivity  not working at my chamber at T,Network
cement mill Lc ip ph not working properly,Other Hardware
VPN Password needs to be changed for following VPN,Network
Mobile mail sending issue,Laptops/Desktop
Need to change password of cfg.dabok,Laptops/Desktop
Need to reset password of cfw.rajkot,Laptops/Desktop
Need to reset VPN password of Jhilmil depo...,Laptops/Desktop
Pulse secure issue,Laptops/Desktop
Wishing You and Your Families a Very Happy Dussehra,Inquiry / Help
account lock issue,Laptops/Desktop
Pulse secure issue,Laptops/Desktop
VPN Connection issue,Laptops/Desktop
want to connect my laptop to the office printer.,Printer
the email communication issue from main gate still,Network
Dear Sir. Please add mac address of Mr.Amit Sara,Network
Please add my mail I.D in mechanical common I.D,Network
Assignment group assign to priority option in showing in my IT Care Login,Other
Please connect Printeron my pc,Printer
Cartridge not working properly of PrinterHP Laser,Printer
Assignment Group Assignment nd prioroty option not showing in my it Care Login,Other
My Printeris not working properly as its is showi,Printer
"At Ahmedabad Office, New Printerhas been provided",Printer
"Ponda Depot CFA has formatted computer, Request fo",Laptops/Desktop
Following user have issue in opening of T-Code - Y,SAP
Following VPN ID needs to change Password.VPN / ,Network
not able to login,Laptops/Desktop
please add print option,Printer
Provide OneDrive (Office 365) access.,Other
low RAM issue PC lagging,Laptops/Desktop
Printerinstallation,Printer
Please Unblock/Reopen the code of AVTC code-1200693.,Software
Dear Team...We are going to disconnect our Tata co,Network
mail login issue,Laptops/Desktop
Accont Lock,Laptops/Desktop
Multi session allow to VC User (RR),Software
we are facing an issue of sending and receiving ma,Network
Panchkula VPN issue,Laptops/Desktop
My micro team is not open on my laptop. my lap top,Laptops/Desktop
Logistic common folder not showing,Laptops/Desktop
"sir,I had created 9 number of PR's for some parti",Laptops/Desktop
outlook pst,Other
"new signature in outlook, blue screen while booting",Other
Exchange Server (NDCEXMBX01) backup getting Failed,Inquiry / Help
Need to reset password,Laptops/Desktop
temp files showing on desktop,Laptops/Desktop
Cartridge for Dubai Office Printer,Printer
Mail issue+Myjkc portal issue,Laptops/Desktop
for transfer vpn token from google to Mobile ( goo,Network
Kindly change password sap id -JHJ_LOG1,Laptops/Desktop
Zoom call Meeting Link ,Software
Reset google authenticator account VPN,Other
Reset google authenticator account,Other
Create VPN ID,Other
Accont Lock,Laptops/Desktop
vpn MFA Reset for employee code 13000577,Other
Printertoner required,Printer
System booting issue,Laptops/Desktop
speaker not working.,Laptops/Desktop
Please get connectivity to Hall Printer(Common Pr,Printer
System is allotted 3 years ago. Life of this syste,Laptops/Desktop
"Laptop slow, take long time in booting, very slow ",Laptops/Desktop
Need to reset password of cfg.narnaul,Laptops/Desktop
Need to reset password...,Laptops/Desktop
 Kindly update the details of user,Other
"Sir, the PC which is issued recently is pretty muc",Laptops/Desktop
PLEASE INSTALL CHROME & GOOGLE IN MY NEW LAPTOP,Laptops/Desktop
"Dear Shivan,Due to problem in mobile, please rese",Network
VPN is not working  it showing locked out ,Other
camera replacement of RM Gate line 2,Other Hardware
system starting issue,Other
Printerinstallation,Printer
sysn issue in one drive,Laptops/Desktop
Laptop some keys are not working. and system is work,Laptops/Desktop
Add Member in Group White Packing Plant,E-mail
Sap installing issue,SAP
SAP INSTALLATION ISSUE,SAP
Issue in Outlook,Laptops/Desktop
system is working slow and laptop sound is not wor,Laptops/Desktop
vpn,Network
plzz sap application installation,SAP
Please change the password,Laptops/Desktop
Showing Temp files in desktop,Laptops/Desktop
broweser responding slow,Laptops/Desktop
need to update Drivers of dell laptop.,Laptops/Desktop
Printerissue. print not coming ..,Printer
MS office not activated. please help,Laptops/Desktop
My laptop Speaker not work properly / Sounds issue,Laptops/Desktop
Need to change password of ST00293...,Laptops/Desktop
"Laptop hangs a lot while using Excel, it takes app",Laptops/Desktop
Printernot install,Printer
I have applied in TMS for my travelling reimbursem,Application
LAPTOP NOT WORKING  PLEASE CHECK,Laptops/Desktop
Airtel Data card issue . kindly arrange to replace,Network
